Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Physical and Mental Well-Being,Under-5 incidence of disease,,district_ocha,population_group,categorical,u5_morbidity_score,categorical,group_difference
Physical and Mental Well-Being,% Households reporting symptoms of mental health complications,,district_ocha,population_group,categorical,mental_health_score,categorical,group_difference
Household vulnerability,% Households with vulnerable heads of household (decision-maker on household expenditure),,district_ocha,population_group,categorical,hhh_score,categorical,group_difference
Household vulnerability,% Households with vulnerable members as the primary income earner ,,district_ocha,population_group,categorical,primary_income_earner_score,categorical,group_difference
Household vulnerability,% Households with Vulnerable members,,district_ocha,population_group,categorical,vulnerable_members_score,categorical,group_difference
Household vulnerability,Household vulnerability,,district_ocha,population_group,categorical,hhvulnerability_score_pev,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting markets not within reasonable proximity,,district_ocha,population_group,categorical,access_to_market_score,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting health centres not within reasonable proximity and no access ,,district_ocha,population_group,categorical,time_to_health_score,categorical,group_difference
"Availability of, and access to, essential services",% Households with access to healthcare,,district_ocha,population_group,categorical,health_access_score,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting nutrition centres not within reasonable proximity and no access,,district_ocha,population_group,categorical,time_to_nutrition_center_score,categorical,group_difference
"Availability of, and access to, essential services",% Households with access to nutrition or therapeutic feeding centres,,district_ocha,population_group,categorical,access_to_nutrition_center_score,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting education centres not within reasonable proximity and no access ,,district_ocha,population_group,categorical,time_to_school_score,categorical,group_difference
"Availability of, and access to, essential services",% Households with access to educational facilities,,district_ocha,population_group,categorical,access_to_school_score,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting water sources not within reasonable proximity,,district_ocha,population_group,categorical,time_to_water_source_score,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting latrines not within reasonable proximity,,district_ocha,population_group,categorical,distance_latrine_score,categorical,group_difference
"Availability of, and access to, essential services",% Households reporting handwashing facilities not within reasonable proximity,,district_ocha,population_group,categorical,handwashing_access_score,categorical,group_difference
Shelter conditions,% Households living in over-crowded conditions,,district_ocha,population_group,categorical,shelter_density_score,categorical,group_difference
Shelter conditions,% Households reporting living in sub-standard or damaged shelters ,,district_ocha,population_group,categorical,shelter_quality_score,categorical,group_difference
Water quality,% Households reporting use of unimproved drinking water sources,,district_ocha,population_group,categorical,drinking_water_source_score,categorical,group_difference
Water quality,% Households reporting use of unimproved domestic water sources,,district_ocha,population_group,categorical,domestics_water_source_score,categorical,group_difference
