Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
,Pre-existing vulnerabilities,,,population_group,categorical,pev_score,categorical,group_difference
,Education,,,population_group,categorical,edu_score,categorical,group_difference
,Nutrition,,,population_group,categorical,nut_score,categorical,group_difference
,Health,,,population_group,categorical,health_score,categorical,group_difference
,Shelter_NFI,,,population_group,categorical,snfi_score,categorical,group_difference
,WASH,,,population_group,categorical,wash_score,categorical,group_difference
,Food Security Livelihoods,,,population_group,categorical,fsl_score,categorical,group_difference
,Protection,,,population_group,categorical,prot_score,categorical,group_difference
,MCSI,,,population_group,categorical,mcsi_score,categorical,group_difference
,Impact,,,population_group,categorical,impact_score,categorical,group_difference
,MSNI,,,population_group,categorical,msni,categorical,group_difference
,Pre-existing vulnerabilities binary,,,population_group,categorical,pev_score_2_cat,categorical,group_difference
,Education binary,,,population_group,categorical,edu_score_2_cat,categorical,group_difference
,Nutrition binary,,,population_group,categorical,nut_score_2_cat,categorical,group_difference
,Health binary,,,population_group,categorical,health_score_2_cat,categorical,group_difference
,Shelter_NFI binary,,,population_group,categorical,snfi_score_2_cat,categorical,group_difference
,WASH binary,,,population_group,categorical,wash_score_2_cat,categorical,group_difference
,Food Security Livelihoods binary,,,population_group,categorical,fsl_score_2_cat,categorical,group_difference
,Protection binary,,,population_group,categorical,prot_score_2_cat,categorical,group_difference
,MCSI binary,,,population_group,categorical,mcsi_score_2_cat,categorical,group_difference
,Impact binary,,,population_group,categorical,impact_score_2_cat,categorical,group_difference
,MSNI binary,,,population_group,categorical,msni_2_cat,categorical,group_difference
,Pre-existing vulnerabilities,,,,,pev_score,categorical,direct_reporting
,Education,,,,,edu_score,categorical,direct_reporting
,Nutrition,,,,,nut_score,categorical,direct_reporting
,Health,,,,,health_score,categorical,direct_reporting
,Shelter_NFI,,,,,snfi_score,categorical,direct_reporting
,WASH,,,,,wash_score,categorical,direct_reporting
,Food Security Livelihoods,,,,,fsl_score,categorical,direct_reporting
,Protection,,,,,prot_score,categorical,direct_reporting
,MCSI,,,,,mcsi_score,categorical,direct_reporting
,Impact,,,,,impact_score,categorical,direct_reporting
,MSNI,,,,,msni,categorical,direct_reporting
,MSNI_cat,,,,,msni_2_cat,categorical,direct_reporting
,One lsg above 3,,,,,at_least_lsg_above_sev_3,categorical,direct_reporting
,Pre-existing vulnerabilities binary,,,,,pev_score_2_cat,categorical,direct_reporting
,Education binary,,,,,edu_score_2_cat,categorical,direct_reporting
,Nutrition binary,,,,,nut_score_2_cat,categorical,direct_reporting
,Health binary,,,,,health_score_2_cat,categorical,direct_reporting
,Shelter_NFI binary,,,,,snfi_score_2_cat,categorical,direct_reporting
,WASH binary,,,,,wash_score_2_cat,categorical,direct_reporting
,Food Security Livelihoods binary,,,,,fsl_score_2_cat,categorical,direct_reporting
,Protection binary,,,,,prot_score_2_cat,categorical,direct_reporting
,MCSI binary,,,,,mcsi_score_2_cat,categorical,direct_reporting
,Impact binary,,,,,impact_score_2_cat,categorical,direct_reporting
,average size,,,,,total_hh,numerical,direct_reporting
,female hh,,,,,female_hh,categorical,direct_reporting
,lsg and cg,,,,,lsg_cg,categorical,direct_reporting
,lsg or cg,,,,,lsg_or_cg,categorical,direct_reporting
