Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
,,,,population_group,categorical,total_hh,numerical,direct_reporting
,,,,population_group,categorical,total_children,numerical,direct_reporting
,,,,population_group,categorical,female_hh,categorical,group_difference
,,,,population_group,categorical,child_hh,categorical,group_difference
,,,,population_group,categorical,eldery_hh,categorical,group_difference
,,,,population_group,categorical,breadwinner,categorical,group_difference
,,,,population_group,categorical,plw_hh,categorical,group_difference
,,,,population_group,categorical,chronic,categorical,group_difference
,,,,population_group,categorical,pwd_hh,categorical,group_difference
,,,,population_group,categorical,mental_heath_issue_hh,categorical,group_difference
,,,,population_group,categorical,no_difficulty_hh,categorical,group_difference
,,,,population_group,categorical,minor_difficulties_hh,categorical,group_difference
,,,,population_group,categorical,some_difficulties_hh,categorical,group_difference
,,,,population_group,categorical,a_lot_hh,categorical,group_difference
,,,,population_group,categorical,cannot_carry_hh,categorical,group_difference
,,,,population_group,categorical,mental_health_score,categorical,group_difference
,,,,population_group,categorical,adr_score,categorical,group_difference
,,,,population_group,categorical,wdr_score,categorical,group_difference
,,,,population_group,categorical,care_giving_time,categorical,group_difference
,,,,population_group,categorical,income_score,categorical,group_difference
,,,,population_group,categorical,dir_score,categorical,group_difference
,,,,population_group,categorical,hhex_score,categorical,group_difference
,,,,population_group,categorical,qty_working_pers,categorical,group_difference
,,,,population_group,categorical,lost_employment_hh,categorical,group_difference
,,,,population_group,categorical,reason_lost_employment,categorical,group_difference
,,,,population_group,categorical,length_of_displacement_score,categorical,group_difference
,,,statex7,population_group,categorical,total_hh,numerical,direct_reporting
,,,statex7,population_group,categorical,total_children,numerical,direct_reporting
,,,statex7,population_group,categorical,female_hh,categorical,group_difference
,,,statex7,population_group,categorical,child_hh,categorical,group_difference
,,,statex7,population_group,categorical,eldery_hh,categorical,group_difference
,,,statex7,population_group,categorical,breadwinner,categorical,group_difference
,,,statex7,population_group,categorical,plw_hh,categorical,group_difference
,,,statex7,population_group,categorical,chronic,categorical,group_difference
,,,statex7,population_group,categorical,pwd_hh,categorical,group_difference
,,,statex7,population_group,categorical,mental_heath_issue_hh,categorical,group_difference
,,,statex7,population_group,categorical,no_difficulty_hh,categorical,group_difference
,,,statex7,population_group,categorical,minor_difficulties_hh,categorical,group_difference
,,,statex7,population_group,categorical,some_difficulties_hh,categorical,group_difference
,,,statex7,population_group,categorical,a_lot_hh,categorical,group_difference
,,,statex7,population_group,categorical,cannot_carry_hh,categorical,group_difference
,,,statex7,population_group,categorical,mental_health_score,categorical,group_difference
,,,statex7,population_group,categorical,adr_score,categorical,group_difference
,,,statex7,population_group,categorical,wdr_score,categorical,group_difference
,,,statex7,population_group,categorical,care_giving_time,categorical,group_difference
,,,statex7,population_group,categorical,income_score,categorical,group_difference
,,,statex7,population_group,categorical,dir_score,categorical,group_difference
,,,statex7,population_group,categorical,hhex_score,categorical,group_difference
,,,statex7,population_group,categorical,qty_working_pers,categorical,group_difference
,,,statex7,population_group,categorical,lost_employment_hh,categorical,group_difference
,,,statex7,population_group,categorical,reason_lost_employment,categorical,group_difference
,,,statex7,population_group,categorical,length_of_displacement_score,categorical,group_difference
