Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
,,,,population_group,categorical,child_health,categorical,group_difference
,,,,population_group,categorical,child_health.none,categorical,group_difference
,,,,population_group,categorical,child_health.fever,categorical,group_difference
,,,,population_group,categorical,child_health.malaria,categorical,group_difference
,,,,population_group,categorical,child_health.awd,categorical,group_difference
,,,,population_group,categorical,child_health.malnutrition,categorical,group_difference
,,,,population_group,categorical,child_health.respiratory_problems,categorical,group_difference
,,,,population_group,categorical,child_health_access,categorical,group_difference
,,,,population_group,categorical,pregnancy_health,categorical,group_difference
,,,,population_group,categorical,pregnancy_health_access,categorical,group_difference
,,,,population_group,categorical,adult_heatlh,categorical,group_difference
,,,,population_group,categorical,adult_heatlh.gastrointestinal,categorical,group_difference
,,,,population_group,categorical,adult_heatlh.malaria,categorical,group_difference
,,,,population_group,categorical,adult_heatlh.awd,categorical,group_difference
,,,,population_group,categorical,adult_heatlh.fever,categorical,group_difference
,,,,population_group,categorical,adult_heatlh.malnutrition,categorical,group_difference
,,,,population_group,categorical,adult_heatlh.respiratory_problems,categorical,group_difference
,,,,population_group,categorical,adult_health_access,categorical,group_difference
,,,,population_group,categorical,vaccination_children,categorical,group_difference
,,,,population_group,categorical,vaccination_card,categorical,group_difference
,,,,population_group,categorical,using_chains,categorical,group_difference
,,,,population_group,categorical,birth_where,categorical,group_difference
,,,,population_group,categorical,pay_health,categorical,group_difference
,,,,population_group,categorical,cash_bracket_treatment,categorical,group_difference
,,,,population_group,categorical,health_price_change,categorical,group_difference
,,,,population_group,categorical,time_health,categorical,group_difference
,,,,population_group,categorical,transport_health,categorical,group_difference
,,,,population_group,categorical,health_facility,categorical,group_difference
,,,,population_group,categorical,mobile_health_outreach,categorical,group_difference
,,,,population_group,categorical,cash_health,categorical,group_difference
,,,,population_group,categorical,cash_vaccination,categorical,group_difference
,,,,population_group,categorical,u5_morbidity_score,categorical,group_difference
,,,,population_group,categorical,adult_morbidity_score,categorical,group_difference
,,,,population_group,categorical,pregnancy_health_score,categorical,group_difference
,,,,population_group,categorical,birth_location_score,categorical,group_difference
,,,,population_group,categorical,mental_health_score,categorical,group_difference
,,,,population_group,categorical,time_to_health_score,categorical,group_difference
