order,type,name,label::english,label::somali,required,relevant,appearance,constraint,constraint_message,choice_filter,calculation,media::image::english,media::image::somali,hint:english,hint:somali
1,start,start,,,,,,,,,,,,,
2,end,end,,,,,,,,,,,,,
3,today,today,,,,,,,,,,,,,
4,deviceid,deviceid,,,,,,,,,,,,,
5,begin_group,introduction,Introduction,Hordhac,,,,,,,,,,,
6,select_one yes_no,consensus,"Hi my name is _____ and I work for __________. We are currently conducting a survey on household needs and would like to ask you some questions about your current access to food, income generating activities, health and WASH access, protection services, and humanitarian aid. The survey usually takes around 45 minutes to complete. Any information you provide will be strictly kept anonymous and confidential. You will not receive any benefits or services from us with but we hope you do participate as your views are important to better inform the humanitarian response.  This is voluntary and you can choose not to answer any question and/or quit at any point. Do you have any questions? May I begin now?","Asalaamu Alaikum! Magaceygu waa _______  Waxaan la shaqeynayaa ______. Waxaan qabaneynaa xog-aruurin ku saabsan xaaladaha nolol maalmeedka dadka deeegaanka , waxaan jeclahay inaan ku weydiiyo su'aalo ku saabsan xaaladaada helida cuntada iyo kaabayaasha dhaqaalaha. Wareysigaan wuxuu qaadanayaa ku dhawaad 45 daqiiqo. War bixin kasta aad noo sheegtid waxay noqon doontaa mid qarsoodi ah. Wareysiga waxba laguuguma siinaayo, waad iska diidi kartaa ka jawaabida su'aalaha qaarkood, ama wareysiga gabi ahaanba waad iska joojin kartaa. Haddaba, waxaan rajeynaynaa inaad nagala qeyb gali doontid maadaama ay aragtidaadu muhiim inoo tahay. Wax su'aal ah miyaad i weydiineysaa? Ma bilaabi karnaa wareysiga?",TRUE,,,,,,,,,Cannot interview under 15,Cannot interview under 15
7,select_one region,region,Which region is the assessment being conducted in?,Gobolkee wareysiga laga qabanayaa?,TRUE,,,,,,,,,,
8,select_one district,district,Which district is the assessment being conducted in?,Degmadee wareysiga laga qabanayaa?,TRUE,,,,,region=${region},,,,,
11,select_one yes_no,idp_settlement,Is this an IDP settlement? _(Only answer YES if the survey is collected inside an IDP settlement)_,Degaankani ma barakacayaal baa?,TRUE,,,,,,,,,,
9,select_one_external settlements,settlement,What is the name of the village/settlement/IDP site?  ,Waa maxay magaca tuladani/Xafadani ama Xarunta barakayaashani? ,TRUE,,,,,district=${district} and idp_settlement=${idp_settlement},,,,,
10,text,settlement_other,"If other, please specify","Haddii xaafad/Tuulo kale, fadlan qeex?",TRUE,"selected(${settlement},""other"")",,,,,,,,,
13,select_one male_female,resp_gender,What is the gender of the respondent?,Sheeg jinsiga qofka kuu jawaabayo?,TRUE,"selected(${consensus},'yes')",,,,,,,,,
14,select_one age,resp_age,What is the age of the respondent? (For respondents between the age of 15 and 17 please ensure an adult/guardian is present),"Sheeg da'da qofka kuu jawaabayo? ( Haddii qofka aad wareysanaysa uu u dhaxeeyo 15 ilaa 17, fadlan hubi haddii la helayo qof masuul ama waayeel ah? ",TRUE,"selected(${consensus},'yes')",,,,,,,,,
15,select_one yes_no,guardian_present,Is there an adult or guardian present?,Ma jira qof masuul/ waayeel oo jooga guriga?,TRUE,"selected(${resp_age},'age15_17')",,,,,,,,,
16,end_group,,,,,,,,,,,,,,
17,begin_group,B,Household demographics,Warbixinta qoyska,,"selected(${consensus},'yes')",,,,,,,,,
18,select_one breadwinner,breadwinner,Who is the main income-earner of the household?,Yaa qoyska masruufa/biila?,TRUE,,,,,,,,,,
19,select_multiple breadwinner,household_expenditure,Who decides on household expenditure?,Yaa go'aamiya isticmaalka/kharashaadka reerka?,TRUE,,,,,,,,,,
20,select_one all_some_none_dnk,hh_ids,Do all adult household members have some form of identity documentation (for example passport or national ID card) in their possession?,Dadka guriga degan intooda qaan gaadhka ah ma haystaan wax lagu garto/ aqoonsi (Tusaale ahaan baasaboor ama Kaadhka aqoonsiga muwaadinka?,TRUE,,,,,,,,,,
21,select_one y_n_dk,hh_ids_renew,"If anyone in your household does not have some form of identity documentation, do you think they could obtain it if needed?","Haddii aanu midna haysan kaadhka aqoonsiga, ma u malaynaysaa inay helayaan haday u baahdaan?",TRUE,"selected(${hh_ids},'some') or selected(${hh_ids},'none')",,,,,,,,,
22,note,hh_demographics_note,"Please give the number of household members in this household in each age and gender group, including the respondent","Fadlan sheeg tirada qoyskaaga ee halkaan ku sugan, adigoo u kala soocaya da'da iyo jinsiga qof walba, oo adiga tirada ku jirtid",,,,,,,,,,,
23,integer,hh_total_one,How many people live in your household?,Intee qof baa ku nool qoyskaaga?,TRUE,,,.>0,,,,,,,
24,begin_group,demog_list,Demographic list,Tirokoobka dadka guriga degan,TRUE,,field-list,,,,,,,,
25,integer,males_0_6m,Males 0-6 months,Rag 0-6 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
26,integer,females_0_6m,Females 0-6 months,Dumar 0-6 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
27,integer,males_6m_4y,Males 7 months - 4 years,Rag 7 bil ilaa 4 sano jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
28,integer,females_6m_4y,Females 7 months - 4 years,Dumar 7 bil ilaa 4 sano jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
29,integer,males_5_12,Males 5-12 years,Rag 5-12 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
30,integer,females_5_12,Females 5-12 years,Dumar 5-12 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
31,integer,males_13_15,Males 13-15 years,Rag 13-15 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
32,integer,females_13_15,Females 13-15 years,Dumar 13-15 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
33,integer,males_16_17,Males 16-17 years,Rag 16-17 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
34,integer,females_16_17,Females 16-17 years,Dumar 16-17 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
35,integer,males_18_40,Males 18-40 years,Rag 18-40 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
36,integer,females_18_40,Females 18-40 years,Dumar 18-40 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
37,integer,males_41_59,Males 41-59 years,Rag 41-59 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
38,integer,females_41_59,Females 41-59 years,Dumar 41-59 jir ah,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
39,integer,males_60_over,Males 60 or older,Rag 60 jir ah ama ka weyn,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
40,integer,females_60_over,Females 60 or older,Dumar 60 jir ah ama ka weyn,TRUE,,,.>=0 and .<=10,"Must be a positive number, and less than 10",,,,,,
41,select_one yes_no,hhh_count_check,Did you include yourself in the household count?,Ma isku dartay tirada inta qof ee ku nool guriga?,TRUE,,,,,,,,,,
42,end_group,demog_list,,,,,,,,,,,,,
43,calculate,total_hh,,,,,,,,,${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15}+${males_16_17}+${females_16_17}+${males_18_40}+${females_18_40}+${males_41_59}+${females_41_59}+${males_60_over}+${females_60_over},,,,
44,calculate,children_vaccine_age,,,,,,,,,${males_6m_4y}+${females_6m_4y}+${males_5_12}+${females_5_12}+${males_13_15}+${females_13_15},,,,
45,calculate,children_0_4,,,,,,,,,${males_0_6m}+${females_0_6m}+${males_6m_4y}+${females_6m_4y},,,,
46,calculate,school_age_male,,,,,,,,,${males_5_12}+${males_13_15} + ${males_16_17},,,,
47,calculate,school_age_female,,,,,,,,,${females_5_12}+${females_13_15} + ${females_16_17},,,,
48,calculate,school_age_total,,,,,,,,,${school_age_male}+${school_age_female},,,,
49,calculate,total_children,,,,,,,,,${children_0_4}+${school_age_total},,,,
50,calculate,hh_difference,,,,,,,,,${total_hh}-${hh_total_one},,,,
51,note,total_hh_confirm_note,The respondent said there are ${hh_total_one} living here and you entered ${total_hh} persons. Please correct,"Waxaad tidhi tirada qoyska halkani ku nool waa ${hh_total_one}, Waxaad gelisay ${total_hh} qof ba ku nool. Fadlan sax?",TRUE,not(${hh_difference}=0),,,"If the total number of HH members is incorrect, please review the demographics section for errors",,,,,,
52,select_one yes_no,person_with_disabilities,"In your household, are there any members that have physical or cognitive difficulties (for e.g. mobility, hearing, sight, communicating, etc.) which impacts their ability to carry out daily activities such as working, studying, walking, getting dressed, remembering things?","Qoyskiina ma ku jiraa qof naafo ah ama dhimir la` ( Tusaale ahaan curyaan, maqalka la`, indho la`, aan hadli kari la`, ) taaso samanaysay inuu qofku guto hawl maalmeedka sida waxbarashada, socodka, inuu dharka xidho, wax xasuusto?",TRUE,,,,,,,,,,
53,begin_group,disabilities_list,Disabilities list,Dadka naafada ah ,,"selected(${person_with_disabilities}, 'yes')",field-list,,,,,,,,
54,note,disa_note,How many household members fall into the following categories?,Imisa ka mid dadka degan guriga ayaa ka mid ah sidan soo socota?,,,,.<=${total_hh} and .>=0,Cannot be more than the total of person in the HH,,,,,,
55,integer,no_difficulty,a.      No difficulty carrying out daily activities,a. Kuma aha dhibaato inuu qabto hawl maalmeedka,TRUE,,,.<=${total_hh} and .>=0,Cannot be more than the total of person in the HH,,,,,,
