list_name,name,label::english,label::somali,idp_settlement,region,district
settlements,NC-3809-A32-002,Abokor-Caddaawe,Abokor-Caddaawe,no,awdal,baki
settlements,NC-3805-T33-001,Baki,Baki,no,awdal,baki
settlements,NC-3805-Z31-001,Baki,Baki,no,awdal,baki
settlements,NC-3806-P03-001,Beeyo Kulul,Beeyo Kulul,no,awdal,baki
settlements,NC-3809-B32-001,Besareh,Besareh,no,awdal,baki
settlements,NC-3805-Z32-001,Caracad,Caracad,no,awdal,baki
settlements,NC-3805-T32-001,Carawayne,Carawayne,no,awdal,baki
settlements,NC-3806-V03-002,Celi,Celi,no,awdal,baki
settlements,NC-3806-P04-001,Dacawaley,Dacawaley,no,awdal,baki
settlements,NC-3806-S05-001,Dhabi Cad,Dhabi Cad,no,awdal,baki
settlements,NC-3809-E30-001,Dharaar Waxar,Dharaar Waxar,no,awdal,baki
settlements,NC-3805-Y31-001,Dheen,Dheen,no,awdal,baki
settlements,NC-3809-D31-001,Dhuxunka,Dhuxunka,no,awdal,baki
settlements,NC-3806-U03-002,Garba Dadar,Garba Dadar,no,awdal,baki
settlements,NC-3806-S07-003,Gargaara Bari,Gargaara Bari,no,awdal,baki
settlements,NC-3806-N05-001,Caro-Weyne,Caro-Weyne,no,awdal,baki
settlements,NC-3806-L13-002,Hadayta,Hadayta,no,awdal,baki
settlements,NC-3805-W31-001,Mareegaley,Mareegaley,no,awdal,baki
settlements,NC-3809-A32-003,Mashruca Dibira Wayn,Mashruca Dibira Wayn,no,awdal,baki
settlements,NC-3805-Q28-001,Dabo Dilaac,Dabo Dilaac,no,awdal,baki
settlements,NC-3809-B30-001,Old Baki,Old Baki,no,awdal,baki
settlements,NC-3805-Y33-001,Qabuurta,Qabuurta,no,awdal,baki
settlements,NC-3806-Y02-003,Qoton Qardhiile,Qoton Qardhiile,no,awdal,baki
settlements,NC-3806-J10-001,Hadhwanaag,Hadhwanaag,no,awdal,baki
settlements,NC-3809-A32-001,Ruqi,Ruqi,no,awdal,baki
settlements,NC-3806-M14-001,Sabawanag,Sabawanag,no,awdal,baki
settlements,NC-3806-T05-003,Xaaji Tawakal,Xaaji Tawakal,no,awdal,baki
settlements,NC-3805-V31-001,Xoorrey,Xoorrey,no,awdal,baki
settlements,NC-3805-W27-001,Abaase Dhadheer,Abaase Dhadheer,no,awdal,borama
settlements,NC-3805-Z30-001,Abakor Cadaawe,Abakor Cadaawe,no,awdal,borama
settlements,NC-3805-X27-002,Abasse Gaagaab,Abasse Gaagaab,no,awdal,borama
settlements,NC-3809-B25-001,Abu Qays,Abu Qays,no,awdal,borama
settlements,NC-3809-C27-001,Afcas,Afcas,no,awdal,borama
settlements,NC-3805-T27-002,Ali-Heley,Ali-Heley,no,awdal,borama
settlements,NC-3805-S20-001,Aroor-Seel,Aroor-Seel,no,awdal,borama
settlements,NC-3809-C29-001,Awrdil,Awrdil,no,awdal,borama
settlements,NC-3809-E29-002,Baal-Dheere,Baal-Dheere,no,awdal,borama
settlements,NC-3805-V28-001,Badanbed,Badanbed,no,awdal,borama
settlements,NC-3805-W28-002,Beden Bed,Beden Bed,no,awdal,borama
settlements,NC-3805-V24-001,Boon,Boon,no,awdal,borama
settlements,NC-3809-B27-002,Borama,Borama,no,awdal,borama
settlements,NC-3809-C25-001,Caasha Caddo,Caasha Caddo,no,awdal,borama
settlements,NC-3805-W23-003,Cabaasa,Cabaasa,no,awdal,borama
settlements,NC-3805-Y28-001,Cadaad,Cadaad,no,awdal,borama
settlements,NC-3809-B27-001,Camuud,Camuud,no,awdal,borama
settlements,NC-3805-Y24-002,Cara-Cad,Cara-Cad,no,awdal,borama
settlements,NC-3809-A26-001,Cara-Garanug,Cara-Garanug,no,awdal,borama
settlements,NC-3809-B28-002,Caro Qolab,Caro Qolab,no,awdal,borama
settlements,NC-3805-R30-001,Caro-Wareen,Caro-Wareen,no,awdal,borama
settlements,NC-3805-S22-001,Ceel Baxay,Ceel Baxay,no,awdal,borama
settlements,NC-3805-X25-002,Ciye,Ciye,no,awdal,borama
settlements,NC-3805-W23-002,Culaacule,Culaacule,no,awdal,borama
settlements,NC-3809-B26-002,Daba Dhadhiye,Daba Dhadhiye,no,awdal,borama
