"population_group","perc_total_female","perc_total_male","perc_total_female_60","perc_total_male_60","perc_total_female_18_59","perc_total_male_18_59","perc_total_female_6_17","perc_total_male_6_17","perc_total_females_05","perc_total_males_05","verif1","verif2","repeat.var.value"
"IDP",0.474407413317585,0.525592586682415,0.0187163049035567,0.0172472761002055,0.156149425731244,0.155870716117131,0.180673234429888,0.21161004440614,0.118868448252896,0.140864550058938,1,1,"national"
"not_displaced",0.470002639963218,0.529997360036782,0.0183676545839475,0.0191902821662856,0.180089033325095,0.180933039198599,0.173042930354732,0.207766926354577,0.0985030216994439,0.122107112317321,1,1,"national"
"IDP",0.481061263161934,0.518938736838066,0.0184806433170457,0.0176196198721431,0.144760950093744,0.136439495874079,0.21119056868715,0.247050446406426,0.106629101063994,0.117829174685418,1,1,"banadir"
"not_displaced",0.495026692437013,0.504973307562987,0.0226247186684948,0.0274042311371372,0.149740172438715,0.145795744818546,0.218820247469026,0.227809429597192,0.103841553860777,0.103963902010112,1,1,"banadir"
"IDP",0.460472519744011,0.539527480255989,0.0244346582392044,0.0231358110748028,0.161653190088061,0.182590793746099,0.14803929862003,0.186718617898432,0.126345372796715,0.147082257536656,1,1,"galmudug"
"not_displaced",0.462025279534026,0.537974720465974,0.0216818161961225,0.0224214020191276,0.176613541563768,0.184889925125698,0.164006048652375,0.197964704767604,0.0997238731217611,0.132698688553543,1,1,"galmudug"
"IDP",0.429504725598663,0.570495274401337,0.00487839623979432,0.00149173556777396,0.137013031508151,0.183816000780046,0.0943540573327872,0.155777649256657,0.19325924051793,0.22940988879686,1,1,"hirshabelle"
"not_displaced",0.476028156727173,0.523971843272827,0.0239545587885957,0.0290379686707595,0.157622650984551,0.174735307825921,0.157673572822282,0.173593319353762,0.136777374131745,0.146605247422385,1,1,"hirshabelle"
"IDP",0.481273056703388,0.518726943296611,0.0185817369576113,0.0269898138381956,0.172963665118335,0.146205055267278,0.165319936190875,0.207127779809596,0.124407718436567,0.138404294381542,1,1,"jubaland"
"not_displaced",0.461499864035747,0.538500135964253,0.0161141133456935,0.0195658141877522,0.163456468193417,0.162097363303809,0.159104029611885,0.211793749078639,0.122825252884751,0.145043209394054,1,1,"jubaland"
"IDP",0.471162966667373,0.528837033332627,0.00749471257583614,0.00825222731942538,0.163204864527888,0.157138711850025,0.194656850648693,0.207657592417329,0.105806538914956,0.155788501745848,1,1,"puntland"
"not_displaced",0.461303487045802,0.538696512954198,0.0165744432535149,0.0152041085791879,0.185268346110623,0.185808664769234,0.163576671647932,0.217913190543984,0.0958840260337327,0.119770549061791,1,1,"puntland"
"IDP",0.500890240756367,0.499109759243633,0.0176073420533214,0.0141370526122676,0.184261091050079,0.168285576161502,0.186700111115978,0.179128321403742,0.112321696536989,0.137558809066123,1,1,"somaliland"
"not_displaced",0.470625088985654,0.529374911014346,0.0166863256312353,0.0146218524795602,0.197811935867383,0.194502314164756,0.167922996085486,0.208058816581738,0.08820383140155,0.112191927788292,1,1,"somaliland"
"IDP",0.451811111218994,0.548188888781006,0.0222778548267225,0.0175275902065989,0.13321504884013,0.147444877957229,0.175873987980129,0.229196463162658,0.120444219572012,0.15401995745452,1,1,"sws"
"not_displaced",0.459988750091693,0.540011249908307,0.0180767740015415,0.0264551869656256,0.142467876862937,0.150761269120579,0.191212039377853,0.216936776181603,0.108232059849361,0.1458580176405,1,1,"sws"
