"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"total_hh",NA,"1",NA,0.00343941592859853,NA,0.00195836601151063,0.00492046584568644,NA,NA
"total_hh",NA,"10",NA,0.0719291014833938,NA,0.0586006848766069,0.0852575180901807,NA,NA
"total_hh",NA,"11",NA,0.0356430779720012,NA,0.0259821757277229,0.0453039802162795,NA,NA
"total_hh",NA,"12",NA,0.0320999436454878,NA,0.0238571984426308,0.0403426888483448,NA,NA
"total_hh",NA,"13",NA,0.0132452711357504,NA,0.00876269173612336,0.0177278505353774,NA,NA
"total_hh",NA,"14",NA,0.00809948383594035,NA,0.00487375903728363,0.0113252086345971,NA,NA
"total_hh",NA,"15",NA,0.00775383496404254,NA,0.00433360106957515,0.0111740688585099,NA,NA
"total_hh",NA,"16",NA,0.00336769439715386,NA,0.000874882401929774,0.00586050639237795,NA,NA
"total_hh",NA,"17",NA,0.0015429508359482,NA,7.69215201822822e-05,0.00300898015171412,NA,NA
"total_hh",NA,"18",NA,0.0013484812437496,NA,0.000138328268731445,0.00255863421876775,NA,NA
"total_hh",NA,"19",NA,0.000621312631287405,NA,-8.07423932856126e-05,0.00132336765586042,NA,NA
"total_hh",NA,"2",NA,0.0348542560736503,NA,0.0270731922105477,0.0426353199367529,NA,NA
"total_hh",NA,"20",NA,0.000600791115463617,NA,-0.000301236693864191,0.00150281892479143,NA,NA
"total_hh",NA,"21",NA,0.00013049235150156,NA,1.29307284905164e-05,0.000248053974512603,NA,NA
"total_hh",NA,"22",NA,1.53666543937567e-05,NA,-1.11944698328311e-05,4.19277786203445e-05,NA,NA
"total_hh",NA,"23",NA,0.00163991792534587,NA,-0.000719178826492781,0.00399901467718453,NA,NA
"total_hh",NA,"25",NA,0.000131680190775704,NA,-9.58863873288883e-05,0.000359246768880295,NA,NA
"total_hh",NA,"3",NA,0.0789737495365005,NA,0.0665617707660692,0.0913857283069318,NA,NA
"total_hh",NA,"4",NA,0.115081507740752,NA,0.0989441760106533,0.13121883947085,NA,NA
"total_hh",NA,"5",NA,0.14425945296767,NA,0.131171900100869,0.15734700583447,NA,NA
"total_hh",NA,"6",NA,0.150669949435273,NA,0.133403328713603,0.167936570156942,NA,NA
"total_hh",NA,"7",NA,0.110886653654759,NA,0.100535323731269,0.121237983578249,NA,NA
"total_hh",NA,"8",NA,0.112423830615252,NA,0.101489316216962,0.123358345013542,NA,NA
"total_hh",NA,"9",NA,0.07124178366531,NA,0.0606453332966008,0.0818382340340192,NA,NA
"female_hh",NA,"female_hh",NA,0.662962070894298,NA,0.628300366968548,0.697623774820049,NA,NA
"female_hh",NA,"not_female_hh",NA,0.337037929105702,NA,0.302376225179951,0.371699633031452,NA,NA
"child_hh",NA,"child_hh",NA,0.00986549297886044,NA,0.00629462035545012,0.0134363656022708,NA,NA
"child_hh",NA,"not_child_hh",NA,0.99013450702114,NA,0.986563634397729,0.99370537964455,NA,NA
"elderly_hh",NA,NA,NA,NA,NA,NA,NA,NA,NA
"plw_hh",NA,"FALSE",NA,0.779360258027693,NA,0.764793386468808,0.793927129586579,NA,NA
"plw_hh",NA,"TRUE",NA,0.220639741972307,NA,0.206072870413421,0.235206613531192,NA,NA
"pwd_hh",NA,"hh_with_pwd",NA,0.127902903200918,NA,0.104650099471165,0.151155706930671,NA,NA
"pwd_hh",NA,"hh_without_pwd",NA,0.872097096799082,NA,0.848844293069329,0.895349900528835,NA,NA
"breadwinner",NA,"adult_female",NA,0.284624944871079,NA,0.266409549402582,0.302840340339576,NA,NA
"breadwinner",NA,"adult_male",NA,0.592627518243256,NA,0.571706742222846,0.613548294263667,NA,NA
"breadwinner",NA,"eldery_female",NA,0.0415926534718044,NA,0.0341455717588754,0.0490397351847334,NA,NA
"breadwinner",NA,"eldery_male",NA,0.0716123379995137,NA,0.0592153217295097,0.0840093542695178,NA,NA
"breadwinner",NA,"female_13",NA,0.000941401755396995,NA,-6.26887634112684e-05,0.00194549227420526,NA,NA
"breadwinner",NA,"female_14_17",NA,0.00142029986999331,NA,0.000289189033854769,0.00255141070613186,NA,NA
"breadwinner",NA,"male_13",NA,0.000697618781823778,NA,0.000147838084681934,0.00124739947896562,NA,NA
"breadwinner",NA,"male_14_17",NA,0.00648322500713297,NA,0.00312714655980135,0.00983930345446458,NA,NA
"chronic",NA,"dontknow",NA,0.0267719853166881,NA,0.0190746814566835,0.0344692891766928,NA,NA
