"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1","pev_score","idp_settlement","2","no",0.27730961298377,NA,0.266348219158962,0.288271006808578,NA,NA
"2","pev_score","idp_settlement","2","yes",0.120899718837863,NA,0.111118610230035,0.130680827445691,NA,NA
"3","pev_score","idp_settlement","3","no",0.681335830212235,NA,0.669926650744794,0.692745009679675,NA,NA
"4","pev_score","idp_settlement","3","yes",0.739925023430178,NA,0.726763705876276,0.75308634098408,NA,NA
"5","pev_score","idp_settlement","4","no",0.017478152309613,NA,0.0142694749632155,0.0206868296560105,NA,NA
"6","pev_score","idp_settlement","4","yes",0.127928772258669,NA,0.117907650905631,0.137949893611708,NA,NA
"7","pev_score","idp_settlement","1","no",0.023876404494382,NA,0.0201383635891275,0.0276144453996365,NA,NA
"8","pev_score","idp_settlement","1","yes",0.0112464854732896,NA,0.00808268811003431,0.0144102828365449,NA,NA
"9","time_to_reach_water_source","idp_settlement","less15","no",0.514044943820225,NA,0.501807075421609,0.52628281221884,NA,NA
"10","time_to_reach_water_source","idp_settlement","less15","yes",0.501640112464855,NA,0.486638985244575,0.516641239685134,NA,NA
"11","time_to_reach_water_source","idp_settlement","16_30","no",0.281367041198502,NA,0.270356786698041,0.292377295698963,NA,NA
"12","time_to_reach_water_source","idp_settlement","16_30","yes",0.287722586691659,NA,0.274140459573533,0.301304713809784,NA,NA
"13","time_to_reach_water_source","idp_settlement","31_60","no",0.138732833957553,NA,0.130269026898384,0.147196641016722,NA,NA
"14","time_to_reach_water_source","idp_settlement","31_60","yes",0.143392689784442,NA,0.132877657263696,0.153907722305189,NA,NA
"15","time_to_reach_water_source","idp_settlement","60_180","no",0.0502496878901373,NA,0.0449006141249711,0.0555987616553035,NA,NA
"16","time_to_reach_water_source","idp_settlement","60_180","yes",0.0463917525773196,NA,0.0400812839009775,0.0527022212536617,NA,NA
