"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"education_humanitarian_condition","yes_no_host","1","no",0.207547169811321,NA,0.0980525994165717,0.31704174020607,"region","hiraan"
"education_humanitarian_condition","yes_no_host","1","yes",0.260162601626016,NA,0.182408480151102,0.33791672310093,"region","hiraan"
"education_humanitarian_condition","yes_no_host","3","no",0.358490566037736,NA,0.22901498901408,0.487966143061392,"region","hiraan"
"education_humanitarian_condition","yes_no_host","3","yes",0.292682926829268,NA,0.212045138064513,0.373320715594023,"region","hiraan"
"education_humanitarian_condition","yes_no_host","2","no",0.415094339622641,NA,0.282059992227504,0.548128687017779,"region","hiraan"
"education_humanitarian_condition","yes_no_host","2","yes",0.422764227642276,NA,0.335213737938801,0.510314717345752,"region","hiraan"
"education_humanitarian_condition","yes_no_host","4","no",0.0188679245283019,NA,0,0.0556023513664382,"region","hiraan"
"education_humanitarian_condition","yes_no_host","4","yes",0.024390243902439,NA,0,0.0517290146894714,"region","hiraan"
"education_humanitarian_condition","yes_no_host","2","no",0.459459459459459,NA,0.298453079762312,0.620465839156607,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","2","yes",0.350993377483444,NA,0.274663992327717,0.42732276263917,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","1","no",0.324324324324324,NA,0.173085165345275,0.475563483303373,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","1","yes",0.28476821192053,NA,0.212593194566319,0.35694322927474,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","3","no",0.216216216216216,NA,0.0832174479961545,0.349214984436278,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","3","yes",0.317880794701987,NA,0.243411022994443,0.392350566409531,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","4","no",0,NA,0,0,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","4","yes",0.0463576158940397,NA,0.0127319373017393,0.0799832944863402,"region","middle_shabelle"
"education_humanitarian_condition","yes_no_host","1","no",0.126436781609195,NA,0.0770097673292771,0.175863795889114,"region","nugaal"
"education_humanitarian_condition","yes_no_host","1","yes",0.430555555555556,NA,0.379358599150138,0.481752511960973,"region","nugaal"
"education_humanitarian_condition","yes_no_host","2","no",0.327586206896552,NA,0.257785213848777,0.397387199944326,"region","nugaal"
"education_humanitarian_condition","yes_no_host","2","yes",0.230555555555556,NA,0.187006344206841,0.27410476690427,"region","nugaal"
"education_humanitarian_condition","yes_no_host","3","no",0.471264367816092,NA,0.397025373087546,0.545503362544637,"region","nugaal"
"education_humanitarian_condition","yes_no_host","3","yes",0.319444444444444,NA,0.271234866854783,0.367654022034106,"region","nugaal"
"education_humanitarian_condition","yes_no_host","4","no",0.0747126436781609,NA,0.0356091233612369,0.113816163995085,"region","nugaal"
"education_humanitarian_condition","yes_no_host","4","yes",0.0194444444444444,NA,0.00516741889958157,0.0337214699893073,"region","nugaal"
"education_humanitarian_condition","yes_no_host","4","no",0.0276243093922652,NA,0.00373102206257314,0.0515175967219572,"region","bari"
"education_humanitarian_condition","yes_no_host","4","yes",0.0187617260787993,NA,0.00723482774135497,0.0302886244162435,"region","bari"
"education_humanitarian_condition","yes_no_host","2","no",0.259668508287293,NA,0.195748636110709,0.323588380463876,"region","bari"
"education_humanitarian_condition","yes_no_host","2","yes",0.337711069418386,NA,0.297533355351871,0.377888783484902,"region","bari"
"education_humanitarian_condition","yes_no_host","1","no",0.154696132596685,NA,0.101978087076717,0.207414178116653,"region","bari"
"education_humanitarian_condition","yes_no_host","1","yes",0.422138836772983,NA,0.380179536634945,0.464098136911022,"region","bari"
"education_humanitarian_condition","yes_no_host","3","no",0.558011049723757,NA,0.485610769010249,0.630411330437265,"region","bari"
"education_humanitarian_condition","yes_no_host","3","yes",0.221388367729831,NA,0.186116645113833,0.256660090345829,"region","bari"
"education_humanitarian_condition","yes_no_host","3","no",0.578231292517007,NA,0.498328101500256,0.658134483533757,"region","sanaag"
"education_humanitarian_condition","yes_no_host","3","yes",0.260240963855422,NA,0.217989307529455,0.302492620181389,"region","sanaag"
