"region","hc","idp"
"awdal",0.342512908777969,0.205128205128205
"bakool",0.342105263157895,0.460606060606061
"banadir",0.387019230769231,0.620947630922693
"bari",0.24015009380863,0.585635359116022
"bay",0.448275862068965,0.367088607594937
"galgaduud",0.275862068965517,0.422764227642276
"gedo",0.279678068410463,0.448717948717949
"hiraan",0.317073170731707,0.377358490566038
"lower_juba",0.296296296296296,0.363013698630137
"lower_shabelle",0.41978021978022,0.51497005988024
"middle_shabelle",0.364238410596026,0.216216216216216
"mudug",0.251585623678647,0.452145214521452
"nugaal",0.338888888888889,0.545977011494253
"sanaag",0.265060240963855,0.591836734693878
"sool",0.290262172284644,0.518181818181818
"togdheer",0.248407643312102,0.355140186915888
"woqooyi_galbeed",0.235872235872236,0.317073170731707
