"population_group","region","s1","s2","s3","s4","s5","education_severity_phase"
"idp","awdal",0.0256410256410256,0.5,0.448717948717949,0.0256410256410256,0,3
"hc","awdal",0.0618556701030928,0.45360824742268,0.372852233676976,0.111683848797251,0,3
"idp","bakool",0.00595238095238095,0.113095238095238,0.541666666666667,0.339285714285714,0,4
"hc","bakool",0.0149812734082397,0.310861423220974,0.385767790262172,0.288389513108614,0,4
"idp","banadir",0.0643564356435644,0.53960396039604,0.200495049504951,0.195544554455446,0,3
"hc","banadir",0.26555023923445,0.45933014354067,0.124401913875598,0.150717703349282,0,3
"idp","bari",0.0883977900552486,0.56353591160221,0.25414364640884,0.0939226519337017,0,3
"hc","bari",0.170411985018727,0.529962546816479,0.185393258426966,0.114232209737828,0,3
"idp","bay",0,0.341772151898734,0.291139240506329,0.367088607594937,0,4
"hc","bay",0.0229885057471264,0.329501915708812,0.222222222222222,0.425287356321839,0,4
"idp","galgaduud",0.0323886639676113,0.412955465587045,0.218623481781377,0.336032388663968,0,4
"hc","galgaduud",0.0965732087227414,0.286604361370716,0.252336448598131,0.364485981308411,0,4
"idp","gedo",0.0192307692307692,0.211538461538462,0.256410256410256,0.512820512820513,0,4
"hc","gedo",0.036144578313253,0.232931726907631,0.307228915662651,0.421686746987952,0.00200803212851406,4
"idp","hiraan",0,0.528301886792453,0.320754716981132,0.150943396226415,0,3
"hc","hiraan",0.0650406504065041,0.471544715447155,0.195121951219512,0.268292682926829,0,4
"idp","lower_juba",0.00684931506849315,0.280821917808219,0.226027397260274,0.486301369863014,0,4
"hc","lower_juba",0.00529100529100529,0.26984126984127,0.264550264550265,0.46031746031746,0,4
"idp","lower_shabelle",0.0359281437125749,0.449101796407186,0.215568862275449,0.29940119760479,0,4
"hc","lower_shabelle",0.0615384615384615,0.43956043956044,0.301098901098901,0.197802197802198,0,3
"idp","middle_shabelle",0.108108108108108,0.648648648648649,0.216216216216216,0.027027027027027,0,3
"hc","middle_shabelle",0.0993377483443709,0.456953642384106,0.251655629139073,0.19205298013245,0,3
"idp","mudug",0.0132013201320132,0.333333333333333,0.425742574257426,0.227722772277228,0,4
"hc","mudug",0.135021097046413,0.544303797468354,0.234177215189873,0.0864978902953586,0,3
"idp","nugaal",0.028735632183908,0.442528735632184,0.241379310344828,0.28735632183908,0,4
"hc","nugaal",0.202777777777778,0.480555555555556,0.180555555555556,0.136111111111111,0,3
"idp","sanaag",0.0264900662251656,0.364238410596026,0.496688741721854,0.112582781456954,0,3
"hc","sanaag",0.0552884615384615,0.451923076923077,0.341346153846154,0.151442307692308,0,3
"idp","sool",0.0409090909090909,0.313636363636364,0.390909090909091,0.254545454545455,0,4
"hc","sool",0.085981308411215,0.48411214953271,0.280373831775701,0.149532710280374,0,3
"idp","togdheer",0.0186046511627907,0.469767441860465,0.325581395348837,0.186046511627907,0,3
"hc","togdheer",0.133474576271186,0.457627118644068,0.279661016949153,0.129237288135593,0,3
"idp","woqooyi_galbeed",0.096969696969697,0.545454545454545,0.290909090909091,0.0666666666666667,0,3
"hc","woqooyi_galbeed",0.221130221130221,0.498771498771499,0.228501228501229,0.0515970515970516,0,3
